time,accX,accY,accZ,pitch,roll,yaw
13.226667,0.000687,0.004242,-0.992920,-0.055056,-0.133877,0.277104
13.330000,-0.091858,-0.017090,-0.989990,-0.073553,0.024391,0.280751
13.433333,0.018738,-0.062271,-0.987961,0.020815,-0.021648,0.174421
13.536667,0.087677,0.038834,-0.987030,-0.001676,0.037114,-0.034572
13.640000,0.016006,-0.038971,-0.986038,0.051660,-0.012614,0.115671
13.743333,0.008865,0.081757,-0.992828,-0.035854,0.067957,-0.170999
13.846667,0.022552,-0.034302,-0.988022,0.016888,-0.023578,0.093396
13.950000,-0.016067,-0.019516,-0.986008,0.024645,0.040574,0.212027
14.053333,0.008163,-0.040741,-0.988861,0.014340,-0.019108,0.324806
14.156667,0.036667,-0.006165,-0.985977,0.059957,-0.023229,0.124875
14.260000,0.027451,-0.036209,-0.985947,0.002177,-0.102963,-0.129533
14.363333,-0.044022,-0.163239,-0.987030,0.050513,-0.049246,-0.250254
14.466667,-0.003296,-0.300079,-0.987976,0.020321,-0.026379,-0.216664
14.570000,0.037811,-0.178604,-0.991882,-0.034335,-0.004274,-0.270006
14.673333,0.030838,-0.041412,-0.984024,-0.049132,-0.021677,-0.218185
14.776667,0.029236,0.015610,-0.996765,0.056790,-0.113834,-0.162902
14.880000,-0.001297,0.007538,-0.990860,0.004567,-0.037393,0.008725
14.983333,0.006012,0.003418,-0.989014,-0.002358,0.008861,-0.007090
15.086667,0.005981,0.002426,-0.993042,0.005929,0.011338,0.002233
15.190000,0.007889,0.004471,-0.988159,-0.001289,0.002965,-0.001354
15.293333,0.004974,0.003433,-0.991135,0.003561,0.000604,-0.000191
15.396667,0.007767,0.001572,-0.986191,-0.002493,-0.012504,-0.001501
15.500000,0.008087,0.008331,-0.993027,-0.010830,0.007641,-0.009463
15.603333,0.007965,0.005447,-0.990097,-0.003884,0.008968,0.004470
15.706667,0.009888,0.005493,-0.987137,-0.003884,0.008970,0.004470
15.810000,0.007843,0.002518,-0.988144,0.003401,0.011374,0.005690
15.913333,0.008926,0.007446,-0.986206,-0.002694,0.007795,0.005623
16.016667,0.012939,0.006454,-0.989990,-0.002352,0.006491,-0.007113
16.120000,0.009048,0.007370,-0.992035,0.003470,0.004216,0.003310
16.223333,0.009918,0.008438,-0.986191,0.002467,0.004141,-0.004794
16.326667,0.008041,0.006363,-0.993012,-0.000115,-0.010092,0.000847
16.430000,0.006912,0.003479,-0.989136,-0.002491,-0.011306,-0.001491
16.533334,0.006912,0.003479,-0.989136,-0.002491,-0.011306,-0.001491
16.636667,0.011688,0.002640,-0.982208,0.006004,0.001808,-0.000169
16.740000,0.011688,0.002640,-0.982208,0.006004,0.001808,-0.000169
16.843334,0.012787,0.004562,-0.985107,-0.001208,0.004217,-0.002557
16.946667,0.012787,0.004562,-0.985107,-0.001208,0.004217,-0.002557
17.050000,0.009995,0.006393,-0.992004,-0.003823,-0.008814,0.004251
17.153334,0.009888,0.005493,-0.987137,-0.006110,-0.005299,-0.001514
17.256667,0.009903,0.003510,-0.990036,0.000232,-0.000612,-0.010692
17.360000,0.008820,0.001541,-0.988129,-0.001355,-0.006439,0.003129
17.463334,0.005020,0.006363,-0.990204,0.002303,-0.006434,0.003149
17.566667,0.010956,0.004456,-0.991959,-0.001265,-0.004090,-0.000320
17.670000,0.009018,0.006378,-0.992035,0.003453,0.001920,0.005545
17.773334,0.008987,0.003448,-0.992966,0.002180,-0.008772,0.007755
17.876667,0.003922,0.005447,-0.986313,0.003853,0.004165,-0.009473
17.980000,0.009933,0.003479,-0.991974,0.002544,0.000624,-0.006041
18.083334,0.005920,0.006424,-0.986282,0.002394,-0.006462,-0.000322
18.186667,0.007034,0.007385,-0.990143,-0.000174,-0.001665,0.004335
18.290000,0.006836,0.004517,-0.984283,-0.004992,-0.000504,0.002004
18.393334,0.008835,0.003540,-0.986175,0.001134,0.003066,0.000914
18.496667,0.006821,0.003555,-0.984268,0.000919,0.000758,0.008990
18.600000,0.011017,0.005432,-0.992920,0.001327,-0.005328,-0.006103
18.703334,0.008072,0.007355,-0.993012,0.002384,0.003057,-0.000236
18.806667,0.005951,0.005432,-0.988220,0.012114,0.010296,0.002146
18.910000,0.007843,0.000549,-0.990066,-0.003573,-0.006442,-0.003877
19.013334,0.008987,0.005432,-0.991043,-0.006101,-0.011174,-0.000464
19.116667,0.004868,0.004471,-0.985321,-0.006160,-0.014722,0.001817
19.220000,0.009918,0.003494,-0.990997,0.002345,-0.012319,0.003043
19.323334,0.006912,0.004456,-0.988190,-0.000074,-0.000432,0.001980
19.426667,0.004929,0.006409,-0.986313,0.002674,0.000658,-0.009564
19.530000,0.009872,0.004486,-0.988113,0.006078,0.007887,-0.000224
19.633334,0.009872,0.004486,-0.988113,0.007121,-0.001569,0.006637
19.736667,0.010895,0.002518,-0.990967,-0.000016,0.001927,-0.000312
19.840000,0.006866,0.004486,-0.986237,-0.003734,-0.000438,0.001959
19.943334,0.008987,0.005432,-0.991043,0.001154,-0.011140,0.001889
20.046667,0.010895,0.002518,-0.990967,0.004861,0.004316,-0.000264
20.150000,0.008987,0.006409,-0.990097,-0.004669,-0.007671,-0.008524
