Start Time,Stop Time,Vel X,Vel Y,Vel Z,Tot Vel X,Total Vel Y,Tot Vel Z,Dist X,Dist Y,Dist Z,Tot Dist X,Total Dist Y,Tot Dist Z,Dist Pitch,Dist Roll,Dist Yaw
0.000000,62.150000,1.078601,-1.381301,-62.351400,34.319135,-114.053471,-1975.874272,1.688992,-5.668141,-97.234929,35.732078,-185.225295,-2075.081283,-0.041601,-0.015392,-0.052622

0.000000,62.150000,1.093332,-1.376856,-63.353834,35.412467,-115.430327,-2039.228105,1.743290,-5.737095,-100.377559,37.475368,-190.962390,-2175.458842,-0.041781,-0.015704,-0.052596

0.000000,62.150000,1.107935,-1.372413,-64.356173,36.520402,-116.802741,-2103.584278,1.798322,-5.805827,-103.570310,39.273689,-196.768216,-2279.029152,-0.041945,-0.015989,-0.052556

0.000000,62.150000,1.122537,-1.367971,-65.358451,37.642939,-118.170712,-2168.942729,1.854084,-5.874336,-106.813175,41.127773,-202.642553,-2385.842327,-0.042084,-0.016318,-0.052502

0.000000,62.150000,1.137239,-1.363430,-66.360663,38.780178,-119.534142,-2235.303393,1.910578,-5.942621,-110.106153,43.038351,-208.585174,-2495.948480,-0.042226,-0.016634,-0.052452

0.000000,62.150000,1.151744,-1.358891,-67.362849,39.931922,-120.893033,-2302.666242,1.967802,-6.010679,-113.449241,45.006153,-214.595853,-2609.397721,-0.042372,-0.016974,-0.052415

0.000000,62.150000,1.166160,-1.354294,-68.365355,41.098083,-122.247327,-2371.031597,2.025750,-6.078509,-116.842446,47.031904,-220.674362,-2726.240167,-0.042492,-0.017316,-0.052371

0.000000,62.150000,1.180671,-1.349597,-69.367669,42.278754,-123.596924,-2440.399266,2.084421,-6.146106,-120.285772,49.116324,-226.820469,-2846.525939,-0.042571,-0.017623,-0.052362

0.000000,62.150000,1.195086,-1.344936,-70.370082,43.473840,-124.941861,-2510.769348,2.143815,-6.213470,-123.779215,51.260139,-233.033938,-2970.305154,-0.042624,-0.017871,-0.052368

0.000000,62.150000,1.209764,-1.340177,-71.372615,44.683604,-126.282038,-2582.141962,2.203936,-6.280597,-127.322783,53.464075,-239.314536,-3097.627937,-0.042619,-0.018144,-0.052405

0.000000,62.150000,1.224409,-1.335483,-72.375148,45.908013,-127.617520,-2654.517111,2.264790,-6.347489,-130.916477,55.728866,-245.662025,-3228.544414,-0.042612,-0.018437,-0.052436

0.000000,62.150000,1.239019,-1.330886,-73.377682,47.147032,-128.948406,-2727.894793,2.326376,-6.414148,-134.560298,58.055242,-252.076173,-3363.104711,-0.042610,-0.018703,-0.052467

0.000000,62.150000,1.253724,-1.326286,-74.380216,48.400757,-130.274693,-2802.275008,2.388695,-6.480577,-138.254245,60.443937,-258.556750,-3501.358956,-0.042566,-0.018953,-0.052491

0.000000,62.150000,1.268527,-1.321685,-75.382749,49.669284,-131.596378,-2877.657758,2.451751,-6.546777,-141.998319,62.895688,-265.103527,-3643.357275,-0.042536,-0.019236,-0.052528

0.000000,62.150000,1.283299,-1.317054,-76.385283,50.952583,-132.913432,-2954.043041,2.515547,-6.612745,-145.792520,65.411234,-271.716272,-3789.149795,-0.042514,-0.019543,-0.052573

0.000000,62.150000,1.298134,-1.312518,-77.387817,52.250716,-134.225950,-3031.430858,2.580082,-6.678485,-149.636847,67.991317,-278.394757,-3938.786643,-0.042458,-0.019811,-0.052634

0.000000,62.150000,1.312939,-1.307822,-78.390351,53.563655,-135.533772,-3109.821209,2.645359,-6.743993,-153.531302,70.636676,-285.138750,-4092.317944,-0.042409,-0.020049,-0.052718

0.000000,62.150000,1.327773,-1.303189,-79.392884,54.891429,-136.836962,-3189.214093,2.711377,-6.809268,-157.475883,73.348053,-291.948018,-4249.793827,-0.042342,-0.020223,-0.052818

0.000000,62.150000,1.342741,-1.298395,-80.395418,56.234170,-138.135357,-3269.609511,2.778140,-6.874308,-161.470590,76.126193,-298.822326,-4411.264417,-0.042232,-0.020402,-0.052953

0.000000,62.150000,1.357614,-1.293572,-81.397952,57.591783,-139.428929,-3351.007463,2.845649,-6.939107,-165.515424,78.971842,-305.761433,-4576.779841,-0.042100,-0.020541,-0.053085

0.000000,62.150000,1.372424,-1.288685,-82.400485,58.964207,-140.717614,-3433.407948,2.913900,-7.003664,-169.610385,81.885742,-312.765097,-4746.390227,-0.041930,-0.020717,-0.053252

0.000000,62.150000,1.387072,-1.283834,-83.403019,60.351279,-142.001447,-3516.810967,2.982887,-7.067977,-173.755473,84.868629,-319.833073,-4920.145700,-0.041775,-0.020912,-0.053423

0.000000,62.150000,1.401759,-1.278888,-84.405553,61.753038,-143.280335,-3601.216520,3.052608,-7.132045,-177.950687,87.921237,-326.965118,-5098.096387,-0.041624,-0.021099,-0.053576

0.000000,62.150000,1.416444,-1.274039,-85.408087,63.169482,-144.554374,-3686.624607,3.123063,-7.195868,-182.196028,91.044300,-334.160986,-5280.292415,-0.041495,-0.021289,-0.053721

0.000000,62.150000,1.431028,-1.269319,-86.410620,64.600510,-145.823694,-3773.035227,3.194250,-7.259452,-186.491496,94.238550,-341.420437,-5466.783911,-0.041414,-0.021535,-0.053880

0.000000,62.150000,1.445610,-1.264695,-87.413026,66.046120,-147.088389,-3860.448254,3.266166,-7.322802,-190.837087,97.504715,-348.743240,-5657.620998,-0.041344,-0.021748,-0.054015

0.000000,62.150000,1.460198,-1.260108,-88.415723,67.506318,-148.348497,-3948.863977,3.338811,-7.385922,-195.232806,100.843526,-356.129162,-5852.853804,-0.041306,-0.021960,-0.054140

0.000000,62.150000,1.474876,-1.255579,-89.418199,68.981194,-149.604076,-4038.282176,3.412188,-7.448814,-199.678654,104.255714,-363.577976,-6052.532457,-0.041255,-0.022136,-0.054229

0.000000,62.150000,1.489358,-1.251117,-90.420579,70.470552,-150.855192,-4128.702755,3.486294,-7.511482,-204.174623,107.742008,-371.089458,-6256.707081,-0.041220,-0.022323,-0.054323

0.000000,62.150000,1.503838,-1.246653,-91.422895,71.974389,-152.101845,-4220.125649,3.561124,-7.573926,-208.720710,111.303131,-378.663384,-6465.427791,-0.041211,-0.022549,-0.054422

0.000000,62.150000,1.518440,-1.242152,-92.424986,73.492830,-153.343998,-4312.550635,3.636680,-7.636146,-213.316907,114.939812,-386.299530,-6678.744698,-0.041213,-0.022778,-0.054528

0.000000,62.150000,1.532840,-1.237648,-93.427174,75.025670,-154.581646,-4405.977810,3.712962,-7.698141,-217.963211,118.652774,-393.997671,-6896.707909,-0.041013,-0.022958,-0.054541

0.000000,62.150000,1.547182,-1.233084,-94.429331,76.572852,-155.814730,-4500.407141,3.789963,-7.759909,-222.659624,122.442737,-401.757580,-7119.367533,-0.040845,-0.023154,-0.054566

0.000000,62.150000,1.562208,-1.225923,-95.431391,78.135060,-157.040653,-4595.838532,3.867698,-7.821385,-227.406142,126.310435,-409.578965,-7346.773675,-0.040650,-0.023466,-0.054472

0.000000,62.150000,1.576083,-1.212758,-96.433477,79.711143,-158.253411,-4692.272009,3.946155,-7.882352,-232.202764,130.256590,-417.461316,-7578.976438,-0.040482,-0.023844,-0.054125

0.000000,62.150000,1.588038,-1.192727,-97.435561,81.299182,-159.446137,-4789.707570,4.025258,-7.942489,-237.049489,134.281848,-425.403805,-7816.025928,-0.040331,-0.024173,-0.052918

0.000000,62.150000,1.597885,-1.169335,-98.437608,82.897066,-160.615473,-4888.145178,4.104906,-8.001540,-241.946319,138.386754,-433.405345,-8057.972246,-0.040214,-0.024430,-0.051675

0.000000,62.150000,1.604531,-1.144089,-99.439494,84.501597,-161.759561,-4987.584672,4.184967,-8.059376,-246.893246,142.571721,-441.464721,-8304.865493,-0.040282,-0.024553,-0.050584

0.000000,62.150000,1.614657,-1.114291,-100.441287,86.116254,-162.873852,-5088.025959,4.265446,-8.115835,-251.890266,146.837167,-449.580556,-8556.755758,-0.040348,-0.024720,-0.050044

0.000000,62.150000,1.625468,-1.082819,-101.443208,87.741723,-163.956671,-5189.469167,4.346449,-8.170763,-256.937378,151.183617,-457.751320,-8813.693136,-0.040189,-0.024900,-0.049638

0.000000,62.150000,1.638413,-1.048891,-102.444876,89.380136,-165.005562,-5291.914043,4.428046,-8.224056,-262.034580,155.611663,-465.975375,-9075.727717,-0.040132,-0.025054,-0.049985

0.000000,62.150000,1.647155,-1.011420,-103.446863,91.027291,-166.016982,-5395.360906,4.510186,-8.275564,-267.181874,160.121849,-474.250939,-9342.909590,-0.040062,-0.025290,-0.049831

0.000000,62.150000,1.654918,-0.969848,-104.448850,92.682209,-166.986830,-5499.809756,4.592738,-8.325095,-272.379267,164.714586,-482.576034,-9615.288857,-0.040139,-0.025590,-0.048927

0.000000,62.150000,1.662249,-0.928318,-105.450837,94.344459,-167.915148,-5605.260592,4.675667,-8.372549,-277.626759,169.390253,-490.948584,-9892.915616,-0.040417,-0.026338,-0.047137

0.000000,62.150000,1.666056,-0.887559,-106.452823,96.010515,-168.802707,-5711.713416,4.758874,-8.417946,-282.924350,174.149127,-499.366530,-10175.839966,-0.040948,-0.026994,-0.044407

