time,accX,accY,accZ,pitch,roll,yaw
6.550000,0.258741,6.776970,1173.055179,0.037016,0.040478,66529.762795
6.600000,0.259217,6.781628,1182.873739,0.037072,0.041710,66529.768823
6.650000,0.259711,6.785964,1192.692414,0.037132,0.042954,66529.774557
6.700000,0.260223,6.789963,1202.511045,0.037195,0.044231,66529.780055
6.750000,0.260752,6.793647,1212.329713,0.037261,0.045536,66529.785289
6.800000,0.261306,6.797034,1222.148441,0.037328,0.046882,66529.790201
6.850000,0.261886,6.800151,1231.967255,0.037397,0.048265,66529.794708
6.900000,0.262484,6.803008,1241.786199,0.037466,0.049679,66529.798787
6.950000,0.263094,6.805623,1251.605360,0.037536,0.051094,66529.802494
7.000000,0.263734,6.808051,1261.424840,0.037605,0.052493,66529.805913
7.050000,0.264408,6.810381,1271.244724,0.037673,0.053869,66529.809112
7.100000,0.265107,6.812666,1281.064953,0.037741,0.055218,66529.812164
7.150000,0.265826,6.814918,1290.885758,0.037810,0.056536,66529.815128
7.200000,0.266559,6.817135,1300.706900,0.037878,0.057782,66529.818042
7.250000,0.267308,6.819315,1310.528225,0.037946,0.058945,66529.820906
7.300000,0.268075,6.821459,1320.349714,0.038012,0.060033,66529.823722
7.350000,0.268860,6.823567,1330.171043,0.038078,0.061052,66529.826488
7.400000,0.269665,6.825641,1339.992266,0.038143,0.062000,66529.829211
7.450000,0.270490,6.827680,1349.813178,0.038209,0.062881,66529.831892
7.500000,0.271338,6.829700,1359.633914,0.038274,0.063699,66529.834539
7.550000,0.272207,6.831721,1369.454387,0.038339,0.064464,66529.837168
7.600000,0.273089,6.833743,1379.274473,0.038404,0.065174,66529.839797
7.650000,0.273975,6.835754,1389.094208,0.038470,0.065828,66529.842426
7.700000,0.274847,6.837748,1398.913630,0.038534,0.066420,66529.845055
7.750000,0.275725,6.839697,1408.732756,0.038597,0.066957,66529.847671
7.800000,0.276613,6.841589,1418.551647,0.038660,0.067441,66529.850269
7.850000,0.277519,6.843404,1428.370057,0.038723,0.067874,66529.852796
7.900000,0.278426,6.845108,1438.188207,0.038786,0.068267,66529.855292
7.950000,0.279329,6.846653,1448.005893,0.038848,0.068620,66529.857786
8.000000,0.280227,6.848041,1457.823171,0.038906,0.068956,66529.860271
8.050000,0.281100,6.849284,1467.640097,0.038953,0.069269,66529.862697
8.100000,0.281948,6.850408,1477.456872,0.038992,0.069562,66529.865009
8.150001,0.282787,6.851401,1487.273780,0.039020,0.069830,66529.867219
8.200000,0.283619,6.852283,1497.090960,0.039044,0.070078,66529.869285
8.250000,0.284441,6.853024,1506.908675,0.039060,0.070292,66529.871268
8.300000,0.285256,6.853642,1516.726864,0.039070,0.070477,66529.873139
8.350000,0.286059,6.854149,1526.545462,0.039077,0.070623,66529.874808
8.400001,0.286849,6.854561,1536.364345,0.039082,0.070733,66529.876079
8.450000,0.287632,6.854885,1546.183427,0.039086,0.070811,66529.876870
8.500000,0.288413,6.855133,1556.002517,0.039091,0.070874,66529.877279
8.550000,0.289180,6.855352,1565.821496,0.039095,0.070927,66529.877457
8.600000,0.289931,6.855577,1575.640137,0.039099,0.070974,66529.877507
8.650001,0.290672,6.855804,1585.458518,0.039104,0.071014,66529.877516
8.700000,0.291408,6.856029,1595.276754,0.039107,0.071050,66529.877517
8.750000,0.292143,6.856254,1605.094964,0.039111,0.071088,66529.877518
8.800000,0.292874,6.856477,1614.913162,0.039116,0.071130,66529.877519
8.850000,0.293603,6.856698,1624.731344,0.039121,0.071175,66529.877520
8.900001,0.294327,6.856916,1634.549854,0.039126,0.071223,66529.877522
8.950000,0.295046,6.857132,1644.368871,0.039132,0.071276,66529.877523
9.000000,0.295761,6.857345,1654.188560,0.039139,0.071333,66529.877525
9.050000,0.296470,6.857554,1664.008766,0.039146,0.071393,66529.877527
9.100000,0.297172,6.857759,1673.829429,0.039154,0.071457,66529.877530
9.150001,0.297867,6.857962,1683.650532,0.039162,0.071524,66529.877532
9.200000,0.298546,6.858162,1693.471974,0.039170,0.071593,66529.877536
9.250000,0.299200,6.858361,1703.293760,0.039178,0.071664,66529.877544
9.300000,0.299827,6.858558,1713.115997,0.039186,0.071735,66529.877573
9.350000,0.300429,6.858754,1722.938674,0.039194,0.071804,66529.877623
9.400001,0.301016,6.858951,1732.762422,0.039202,0.071872,66529.877689
9.450000,0.301603,6.859148,1742.586875,0.039211,0.071938,66529.877796
9.500000,0.302202,6.859347,1752.411239,0.039221,0.072001,66529.877922
9.550000,0.302820,6.859552,1762.235280,0.039234,0.072064,66529.878062
9.600000,0.303465,6.859762,1772.058898,0.039246,0.072131,66529.878224
9.650001,0.304159,6.859975,1781.882147,0.039260,0.072208,66529.878431
9.700000,0.304895,6.860194,1791.704823,0.039273,0.072287,66529.878655
9.750000,0.305685,6.860422,1801.526744,0.039286,0.072367,66529.878909
9.800000,0.306536,6.860659,1811.347742,0.039299,0.072474,66529.879164
9.850000,0.307441,6.860905,1821.167652,0.039313,0.072598,66529.879419
9.900001,0.308391,6.861164,1830.986676,0.039326,0.072726,66529.879683
9.950000,0.309378,6.861427,1840.804971,0.039340,0.072853,66529.879990
10.000000,0.310402,6.861697,1850.622574,0.039353,0.072981,66529.880378
10.050000,0.311444,6.861971,1860.439667,0.039368,0.073122,66529.880930
